O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14
1.858398926,-0.269533924,-0.737919706,-2.03130399,-1.123090327,1.220686817,-3.125402638,-0.293865286,-1.322141653,-0.101788571,2.016038427,1.728298082,3.202034685,1.430814211
2.135700631,0.473121241,-0.214203752,-1.704188161,-0.957503249,1.503586789,-2.965932705,0.014063989,-1.458113281,-0.170981434,2.111004634,1.156750898,-0.994938266,0.397270457
2.109996469,0.111600364,-0.386068974,-1.650080284,-0.84463768,1.49622134,-3.272651283,-0.196191673,-1.162454504,-0.098419245,1.952169931,1.126355187,1.911620883,2.005076649
2.011769077,-0.292420319,-0.824720148,-2.163617515,-1.291305949,0.998924765,-3.171428503,-0.301530021,-1.289447679,-0.136742421,1.936533005,2.027252915,4.722705417,1.303385007
2.435887856,0.138316446,-0.132305,-1.261971021,-0.692467715,1.561380137,-3.435122991,-0.113621882,-1.115759381,-0.784346401,1.026047217,0.073796006,0.016638701,1.207081583
1.865760805,-0.033590832,-0.721185296,-2.158967746,-1.242709348,1.159536167,-2.920912444,-0.190837595,-1.498083908,-0.053379356,2.163296084,1.882227215,1.891995598,0.498898922
1.974197814,0.109838529,-0.244085545,-1.514202515,-0.79885495,1.598707421,-3.166839472,-0.10498323,-1.360465738,-0.506167459,1.626036486,0.611214613,-0.956399047,0.928034037
2.217248011,0.155392537,-0.333516201,-1.59252884,-0.820414826,1.513689781,-3.316961351,-0.18411516,-1.148220164,-0.154298214,1.876387248,1.017912788,1.761543539,2.022158945
1.560422119,-0.240445418,-0.745958193,-1.969748711,-0.943852,1.419198403,-2.937626966,-0.27065945,-1.282989651,0.146900626,2.258613925,1.542426042,2.138277335,1.551688404
2.13781492,0.066088332,-0.376912023,-1.555856195,-0.719620475,1.584011473,-3.3659823,-0.203169192,-0.997294538,0.012438988,1.983912741,1.006388384,2.701872197,2.903359223
2.477407025,0.246445178,-0.29315243,-1.598879372,-0.9117961,1.396820493,-3.379328914,-0.147056977,-1.136521395,-0.27500189,1.717410901,1.070961388,2.205479744,1.728467637
